"ANOENC"	"NUMERO"	"CCAA"	"NUTS1"	"CAPROV"	"TAMAMU"	"DENSIDAD"	"CLAVE"	"CLATEO"	"FACTOR"	"NMIEMB"	"TAMANO"	"NMIEMSD"	"NMIEMHU"	"NMIEMIN"	"NMIEM1"	"NMIEM2"	"NMIEM3"	"NMIEM4"	"NMIEM5"	"NMIEM6"	"NMIEM7"	"NMIEM8"	"NMIEM9"	"NMIEM10"	"NMIEM11"	"NMIEM12"	"NMIEM13"	"NUMACTI"	"NUMINACTI"	"NUMOCU"	"NUMNOCU"	"NUMESTU"	"NUMNOESTU"	"NNINOSD"	"NHIJOSD"	"UC1"	"UC2"	"PF2TEO"	"PF2RECO"	"TIPHOGAR1"	"TIPHOGAR2"	"TIPHOGAR3"	"TIPHOGAR4"	"TIPHOGAR5"	"TIPHOGAR6"	"TIPHOGAR7"	"TIPHOGAR8"	"TIPHOGAR9"	"TIPHOGAR10"	"TIPHOGAR11"	"SITUOCUHOG"	"SITUACTHOG"	"NORDENSP"	"EDADSP"	"SEXOSP"	"PAISNACSP"	"NACIONASP"	"PAISSP"	"SITURESSP"	"ECIVILLEGALSP"	"NORDENCOSP"	"UNIONSP"	"CONVIVENCIASP"	"NORDENPASP"	"PAISPADRESP"	"NORDENMASP"	"PAISMADRESP"	"ESTUDIOSSP"	"ESTUDREDSP"	"SITUACTSP"	"SITUREDSP"	"OCUSP"	"JORNADASP"	"PERCEPSP"	"IMPEXACPSP"	"INTERINPSP"	"TRABAJO"	"OCUPA"	"OCUPARED"	"ACTESTB"	"ACTESTBRED"	"SITPROF"	"SECTOR"	"CONTRATO"	"TIPOCONT"	"SITSOCI"	"SITSOCIRE"	"REGTEN"	"TIPOEDIF"	"ZONARES"	"TIPOCASA"	"NHABIT"	"ANNOCON"	"SUPERF"	"AGUACALI"	"FUENAGUA"	"CALEF"	"FUENCALE"	"DISPOSIOV"	"NUMOVD"	"REGTENV1"	"MESESV1"	"DIASV1"	"AGUACV1"	"FUENACV1"	"CALEFV1"	"FUENCAV1"	"REGTENV2"	"MESESV2"	"DIASV2"	"AGUACV2"	"FUENACV2"	"CALEFV2"	"FUENCAV2"	"REGTENV3"	"MESESV3"	"DIASV3"	"AGUACV3"	"FUENACV3"	"CALEFV3"	"FUENCAV3"	"REGTENV4"	"MESESV4"	"DIASV4"	"AGUACV4"	"FUENACV4"	"CALEFV4"	"FUENCAV4"	"REGTENV5"	"MESESV5"	"DIASV5"	"AGUACV5"	"FUENACV5"	"CALEFV5"	"FUENCAV5"	"REGTENV6"	"MESESV6"	"DIASV6"	"AGUACV6"	"FUENACV6"	"CALEFV6"	"FUENCAV6"	"REGTENV7"	"MESESV7"	"DIASV7"	"AGUACV7"	"FUENACV7"	"CALEFV7"	"FUENCAV7"	"REGTENV8"	"MESESV8"	"DIASV8"	"AGUACV8"	"FUENACV8"	"CALEFV8"	"FUENCAV8"	"REGTENV9"	"MESESV9"	"DIASV9"	"AGUACV9"	"FUENACV9"	"CALEFV9"	"FUENCAV9"	"GASTOT"	"IMPUTGAS"	"GASTMON"	"GASTNOM1"	"GASTNOM2"	"GASTNOM3"	"GASTNOM4"	"CAPROP"	"CAJENA"	"PENSIO"	"DESEM"	"OTRSUB"	"RENTAS"	"OTROIN"	"FUENPRIN"	"FUENPRINRED"	"IMPEXAC"	"INTERIN"	"NUMPERI"	"COMIMH"	"COMISD"	"COMIHU"	"COMIINV"	"COMITOT"
2023	1	16	2	6	5	2	1	2	400.95406	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	2	2	2	3	3	1	1	2	1	1	1	-9	-9	1	50	6	1	1		1	1	99		3	99	1	99	1	3	2	1	1	1	1	1	-9	03	1	4	3	C	2	1	6	1	1	2	2	1	4	3	2	4	1	85	1	3	1	3	6																																																																	8546550.96	0	4770153.12				3776397.84	6	1	6	6	6	6	6	2	2	1206	03	1	8	0	0	0	8
2023	2	09	5	6	5	2	1	1	1575.616402	3	3	0	0	0	1	2	2	1	2	1	0	2	0	0	1	0	0	1	2	1	2	0	3	2	2	2	1.6	0	0	4	4	9	8	8	2	7	3	4	2	2	-9	-9	1	41	6	1	1		1	5	99		3	99	1	99	1	7	4	1	1	1	2	1	-9	02	1	4	3	R	3	1	1	1	1	4	2	2	2	7	2	5	1	90	1	2	1	2	6																																																																	25652119.99	0	16414758.12				9237361.87	6	1	6	6	6	6	6	2	2	859	02	1	42	0	0	0	42
2023	3	01	6	6	2	2	2	2	962.46536	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	2	2	2	1	1	1	1	2	1	1	1	-9	-9	1	64	1	1	1		1	4	99		3	99	1	99	1	4	3	2	1	1	1	1	850	02	1	4	3	G	3	1	6	1	1	2	2	1	2	3	2	5	6	85	1	3	6		6																																																																	15246365.93	0	7608823.32				7637542.61	6	1	6	6	6	6	6	2	2	850	02	1	14	0	0	0	14
2023	4	02	2	6	5	3	1	1	621.096916	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	0	2	0	0	2	0	2	0	2	0	0	1.7	1.5	1	0	5	5	4	5	5	5	3	1	2	3	3	8	8	1	70	1	1	1		1	2	2	1	1	99	1	99	1	3	2	4	2	2		1	-9	05	1	3	2	D	2	1	6	1	1	8	5	1	2	7	2	5	6	87	1	1	1	1	6																																																																	12526504.79	29.44	7072275.24	1891531.18			3562698.37	6	6	1	6	6	6	6	3	3	2102	05	1	28	0	0	0	28
2023	5	15	2	6	3	1	1	2	260.852439	4	4	0	0	0	4	0	0	4	0	4	0	0	2	0	2	0	0	2	2	2	2	2	2	2	2	3.1	2.5	3	3	11	11	7	10	10	8	5	4	5	4	4	2	2	1	60	1	1	1		1	2	2	1	1	99	1	99	1	5	4	1	1	1	1	1	2570	06	1	3	2	C	2	1	6	1	1	2	2	1	4	3	2	5	6	87	1	2	1	2	6																																																																	14450302.93	0	11935648.27				2514654.66	6	1	6	6	6	6	6	2	2	3500	07	2	41	0	0	0	41
2023	6	02	2	6	5	3	2	2	886.045348	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	4	4	1	2	1	1	1	1	8	8	1	69	6	1	1		1	4	99		3	99	1	99	1	2	1	7	2	2		1	1400	03	1	8	4	C	2	1	6	1	1	10	6	1	2	3	2	5	6	100	1	4	1	4	6																																																																	56195201.72	0	52560656.82				3634544.9	6	6	1	6	6	6	6	3	3	1400	03	1	14	0	0	4	18
2023	7	17	2	6	5	3	1	1	255.876616	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	2	2	1	2	1	1	1	1	8	8	1	79	1	1	1		1	3	99		3	99	1	99	1	2	1	4	2	2		1	958	02	1	7	4	F	2	3	-9	-9	-9	8	5	1	3	7	2	6	6	128	1	4	1	4	1	1	1	12	-9	1	4	1	4																																																									5275628.47	0	2490250.1				2785378.37	6	6	1	6	6	6	6	3	3	958	02	1	14	0	0	0	14
2023	8	07	4	6	5	3	1	1	457.008134	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	0	2	0	0	2	0	2	0	2	0	0	1.7	1.5	1	1	5	5	4	5	5	5	3	1	2	3	3	8	8	1	76	1	1	1		1	2	2	1	1	99	1	99	1	3	2	4	2	2		1	-9	04	1	7	4	C	2	1	6	1	1	8	5	1	2	7	2	6	6	95	1	5	1	5	6																																																																	18898473.15	0	16661705.69	354529.2			1882238.27	6	6	1	6	6	6	6	3	3	2225	05	2	28	0	0	21	49
2023	9	10	5	6	2	1	1	1	1005.400286	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	2	0	2	0	0	2	0	0	1.7	1.5	1	1	6	6	5	6	6	5	3	2	2	3	3	2	2	1	40	1	1	1		1	2	2	1	1	99	1	99	1	5	4	1	1	1	1	1	-9	03	1	7	4	F	2	1	6	1	1	1	1	1	4	3	2	5	1	90	1	1	1	1	6																																																																	23755226.72	0	19326967.3				4428259.42	6	1	6	6	6	6	6	2	2	2645	06	2	26	0	0	0	26
2023	10	12	1	6	5	2	2	2	802.184874	5	5	0	0	0	4	1	1	4	1	4	1	0	0	1	1	1	1	1	4	1	4	0	5	1	1	3.6	2.8	3	2	12	12	10	12	12	9	8	4	6	5	5	6	6	1	68	1	1	1		6	2	2	1	1	99	1	99	1	3	2	4	2	2		1	-9	03	1	5	3	O	3	1	1	1	1	8	5	1	2	7	2	7	6	120	1	3	6		6																																																																	11102572.56	7.97	7146221.79				3956350.77	6	1	1	6	6	6	6	3	3	3487	07	3	56	0	0	0	56
